gene_id,Atha_Col-0_root_GC_Alight_Rep1_GSM2493759,Atha_Col-0_root_GC_Alight_Rep2_GSM2493760,Atha_Col-0_root_GC_Alight_Rep3_GSM2493761,Atha_Col-0_root_FLT_Alight_Rep1_GSM2493777,Atha_Col-0_root_FLT_Alight_Rep2_GSM2493778,Atha_Col-0_root_FLT_Alight_Rep3_GSM2493779
AT1G01010,64,97,50,142,105,173
AT1G01020,348,426,233,329,220,327
AT1G01030,43,69,52,45,24,77
AT1G01040,115,68,53,54,70,92
AT1G01046,0,0,0,0,0,0
AT1G01050,1484,2579,1640,1353,983,1253
AT1G01060,347,482,286,4,3,9
AT1G01070,171,283,245,357,267,202
AT1G01080,29,60,28,34,36,31
AT1G01090,1151,1131,1129,1231,727,1047
AT1G01100,5261,11041,5851,5057,3739,5051
AT1G01110,379,224,171,384,283,284
AT1G01120,20,10,2,5,9,15
AT1G01130,5,22,13,13,4,8
AT1G01140,6,73,9,53,32,69
AT1G01150,0,7,0,0,0,0
AT1G01160,643,816,413,426,326,480
AT1G01170,180,194,106,147,95,174
AT1G01180,18,52,53,21,25,124
AT1G01183,0,0,0,0,0,1
AT1G01190,0,10,9,0,1,1
AT1G01200,3,78,16,11,10,4
AT1G01210,246,444,231,187,182,206
AT1G01220,65,50,46,41,54,47
AT1G01225,75,226,97,75,45,79
AT1G01230,359,883,526,398,313,440
AT1G01240,175,296,158,162,119,260
AT1G01250,0,0,0,0,0,0
AT1G01260,103,95,64,134,102,154
AT1G01270,0,0,0,0,0,0
AT1G01280,0,0,0,0,0,0
AT1G01290,140,294,163,143,155,143
AT1G01300,498,393,458,673,322,550
AT1G01305,0,2,0,0,0,0
AT1G01310,0,5,9,0,0,0
AT1G01320,123,56,71,73,85,59
AT1G01335,0,0,0,0,0,0
AT1G01340,0,22,11,5,11,21
AT1G01350,242,398,239,219,182,234
AT1G01355,0,0,0,0,0,0
AT1G01360,444,384,262,266,191,389
AT1G01370,132,220,128,87,63,118
AT1G01380,9,17,8,7,5,10
AT1G01390,0,2,0,0,0,1
AT1G01400,0,0,0,0,0,0
AT1G01410,0,0,0,0,0,0
AT1G01420,0,3,3,0,0,3
AT1G01430,133,107,110,163,138,113
AT1G01440,84,97,57,105,64,87
AT1G01448,241,74,111,124,137,157
AT1G01450,121,31,33,63,59,60
AT1G01453,0,6,5,0,2,0
AT1G01460,0,0,0,0,0,0
AT1G01470,278,833,462,137,256,796
AT1G01480,4,27,8,3,6,5
AT1G01490,328,845,493,379,183,385
AT1G01500,40,47,50,56,61,57
AT1G01510,727,338,350,614,423,524
AT1G01520,2,0,1,1,0,4
AT1G01530,0,0,0,0,0,0
AT1G01540,245,240,131,199,178,216
AT1G01550,957,1682,1229,1100,818,1292
AT1G01560,0,0,1,4,8,0
AT1G01570,6,37,22,33,22,37
AT1G01580,80,47,61,64,5,100
AT1G01590,0,0,0,0,0,0
AT1G01600,0,0,1,0,0,0
AT1G01610,9,44,24,3,0,5
AT1G01620,6168,7889,6439,6220,4607,6365
AT1G01630,170,433,291,258,173,277
AT1G01640,76,209,211,141,123,163
AT1G01650,292,180,161,261,225,342
AT1G01660,7,24,10,16,5,41
AT1G01670,25,61,8,24,20,15
AT1G01680,0,0,0,0,0,0
AT1G01690,93,101,52,56,58,94
AT1G01695,0,0,4,0,1,0
AT1G01700,27,14,14,6,1,16
AT1G01710,77,79,64,102,52,109
AT1G01715,27,44,22,8,14,28
AT1G01720,1833,1229,868,1671,1207,2290
AT1G01725,180,376,268,117,80,211
AT1G01730,500,530,547,517,339,649
AT1G01740,20,14,16,22,20,19
AT1G01750,127,389,237,190,186,276
AT1G01760,75,113,45,96,70,53
AT1G01770,217,193,166,181,188,178
AT1G01780,109,162,154,89,115,135
AT1G01790,85,82,38,56,20,36
AT1G01800,1006,1394,765,1047,759,1135
AT1G01810,14,25,9,10,2,17
AT1G01820,508,663,438,525,402,768
AT1G01830,135,182,78,118,128,160
AT1G01840,18,60,25,17,15,26
AT1G01860,49,29,24,53,14,27
AT1G01870,0,0,0,0,0,0
AT1G01880,13,25,13,1,4,15
AT1G01890,0,0,0,0,0,0
AT1G01900,4,5,6,9,5,10
AT1G01910,448,655,371,523,393,453
AT1G01920,383,291,172,310,232,269
AT1G01930,126,115,59,96,74,91
AT1G01940,235,555,307,218,182,221
AT1G01950,116,114,65,125,80,116
AT1G01960,303,253,173,347,288,404
AT1G01970,64,62,33,42,21,18
AT1G01980,0,0,2,0,0,0
AT1G01990,271,219,203,242,196,298
AT1G02000,168,146,127,169,110,168
AT1G02010,20,45,20,18,19,31
AT1G02020,81,63,56,54,44,82
AT1G02030,9,18,6,4,1,18
AT1G02040,0,0,0,0,0,0
AT1G02050,24,12,25,53,30,36
AT1G02060,55,5,29,55,45,23
AT1G02065,0,0,0,0,0,0
AT1G02067,0,0,0,0,0,0
AT1G02070,0,0,1,1,0,0
AT1G02080,286,272,193,256,206,278
AT1G02090,424,538,426,417,393,365
AT1G02100,543,509,297,475,427,561
AT1G02110,261,59,66,146,116,125
AT1G02120,324,300,192,297,273,339
AT1G02130,1114,1683,1149,1000,715,980
AT1G02140,2113,3210,2355,2004,1390,2161
AT1G02145,275,283,122,210,172,241
AT1G02150,294,174,165,221,250,258
AT1G02160,650,874,471,408,348,484
AT1G02170,266,198,230,285,198,276
AT1G02180,35,91,50,42,37,55
AT1G02190,0,0,0,2,0,0
AT1G02205,0,3,2,0,0,0
AT1G02210,0,0,1,0,0,0
AT1G02220,91,111,104,99,117,235
AT1G02230,3,24,20,6,8,49
AT1G02250,0,0,0,0,1,0
AT1G02260,113,99,116,100,82,144
AT1G02270,107,128,115,107,79,108
AT1G02280,235,303,159,214,108,178
AT1G02290,44,56,46,43,45,62
AT1G02300,15,25,17,15,30,57
AT1G02305,706,851,566,604,340,843
AT1G02310,2,21,8,0,0,8
AT1G02320,0,0,3,0,0,0
AT1G02330,251,479,320,333,236,304
AT1G02335,68,566,238,191,346,231
AT1G02340,40,39,55,7,4,122
AT1G02350,9,7,10,4,6,0
AT1G02360,37,82,62,52,29,185
AT1G02370,94,125,40,107,38,87
AT1G02380,14,26,13,4,24,19
AT1G02390,17,23,13,59,32,67
AT1G02400,3,82,30,0,3,17
AT1G02405,0,0,0,0,0,0
AT1G02410,380,433,271,318,230,323
AT1G02420,21,19,20,33,21,23
AT1G02430,47,148,83,126,41,66
AT1G02440,18,80,40,43,27,50
AT1G02450,4,10,4,11,12,30
AT1G02460,57,39,20,40,51,89
AT1G02470,0,3,1,0,0,0
AT1G02475,68,98,69,37,25,52
AT1G02480,0,0,0,0,0,0
AT1G02490,0,1,2,0,0,0
AT1G02500,14747,11781,9031,10579,10239,10911
AT1G02510,4,10,2,8,12,0
AT1G02520,208,102,71,259,197,206
AT1G02530,1,11,8,11,3,3
AT1G02540,0,0,0,0,0,0
AT1G02550,0,0,0,0,0,0
AT1G02560,337,623,377,338,243,338
AT1G02570,0,22,21,0,14,6
AT1G02575,3,16,21,9,17,6
AT1G02580,8,7,9,2,1,5
AT1G02590,0,0,0,0,0,0
AT1G02600,0,0,0,0,0,0
AT1G02610,64,163,125,87,56,191
AT1G02620,0,0,0,0,0,0
AT1G02630,0,3,0,0,0,0
AT1G02640,78,95,48,61,80,69
AT1G02650,3,0,0,3,0,0
AT1G02660,31,6,5,9,15,16
AT1G02670,6,18,6,10,6,25
AT1G02680,213,419,275,197,154,261
AT1G02690,282,288,184,303,193,272
AT1G02700,8,14,3,1,0,2
AT1G02705,2,4,7,1,3,6
AT1G02710,1,2,0,0,1,1
AT1G02720,132,182,108,145,137,136
AT1G02730,106,198,82,107,57,176
AT1G02740,102,88,71,91,61,95
AT1G02750,100,234,148,99,69,148
AT1G02760,0,0,0,0,0,0
AT1G02770,0,0,1,0,4,1
AT1G02780,11439,13924,10060,11615,7457,11070
AT1G02790,0,0,0,0,0,0
AT1G02800,0,0,0,0,0,0
AT1G02810,123,102,73,206,72,205
AT1G02813,2,4,1,1,0,0
AT1G02816,381,1061,522,495,422,508
AT1G02820,2,0,0,1,0,0
AT1G02830,0,0,0,0,0,0
AT1G02840,1136,713,594,1060,748,1035
AT1G02850,707,717,273,1041,741,985
AT1G02860,40,111,116,47,47,139
AT1G02870,473,557,382,373,252,323
AT1G02880,244,273,202,205,114,203
AT1G02890,181,184,139,161,160,252
AT1G02900,233,1359,916,272,286,657
AT1G02910,87,68,68,53,62,79
AT1G02920,29,64,86,198,83,463
AT1G02930,5,37,20,88,56,216
AT1G02940,0,0,0,0,0,0
AT1G02950,97,170,98,43,96,77
AT1G02952,2,5,0,2,0,2
AT1G02960,175,238,131,143,111,149
AT1G02965,0,0,0,0,0,0
AT1G02970,46,76,36,51,62,31
AT1G02980,0,0,4,0,1,6
