sample_id,genotype,light,spaceflight,replicate,group
Flight_Col-0_Dark_bio_rep1,Col-0,Dark,Flight,rep1,Col-0_Dark_Flight
Flight_Col-0_Dark_bio_rep2,Col-0,Dark,Flight,rep2,Col-0_Dark_Flight
Flight_Col-0_Dark_bio_rep3,Col-0,Dark,Flight,rep3,Col-0_Dark_Flight
Flight_Col-0_Light_bio_rep1,Col-0,Light,Flight,rep1,Col-0_Light_Flight
Flight_Col-0_Light_bio_rep2,Col-0,Light,Flight,rep2,Col-0_Light_Flight
Flight_Col-0_Light_bio_rep3,Col-0,Light,Flight,rep3,Col-0_Light_Flight
Flight_Ws_Dark_bio_rep1,Ws,Dark,Flight,rep1,Ws_Dark_Flight
Flight_Ws_Dark_bio_rep2,Ws,Dark,Flight,rep2,Ws_Dark_Flight
Flight_Ws_Dark_bio_rep3,Ws,Dark,Flight,rep3,Ws_Dark_Flight
Flight_Ws_Light_bio_rep1,Ws,Light,Flight,rep1,Ws_Light_Flight
Flight_Ws_Light_bio_rep2,Ws,Light,Flight,rep2,Ws_Light_Flight
Flight_Ws_Light_bio_rep3,Ws,Light,Flight,rep3,Ws_Light_Flight
Flight_phyD_Dark_bio_rep1,phyD,Dark,Flight,rep1,phyD_Dark_Flight
Flight_phyD_Dark_bio_rep2,phyD,Dark,Flight,rep2,phyD_Dark_Flight
Flight_phyD_Dark_bio_rep3,phyD,Dark,Flight,rep3,phyD_Dark_Flight
Flight_phyD_Light_bio_rep1,phyD,Light,Flight,rep1,phyD_Light_Flight
Flight_phyD_Light_bio_rep2,phyD,Light,Flight,rep2,phyD_Light_Flight
Flight_phyD_Light_bio_rep3,phyD,Light,Flight,rep3,phyD_Light_Flight
Ground_control_Col-0_Dark_bio_rep1,Col-0,Dark,Ground,rep1,Col-0_Dark_Ground
Ground_control_Col-0_Dark_bio_rep2,Col-0,Dark,Ground,rep2,Col-0_Dark_Ground
Ground_control_Col-0_Dark_bio_rep3,Col-0,Dark,Ground,rep3,Col-0_Dark_Ground
Ground_control_Col-0_Light_bio_rep1,Col-0,Light,Ground,rep1,Col-0_Light_Ground
Ground_control_Col-0_Light_bio_rep2,Col-0,Light,Ground,rep2,Col-0_Light_Ground
Ground_control_Col-0_Light_bio_rep3,Col-0,Light,Ground,rep3,Col-0_Light_Ground
Ground_control_Ws_Dark_bio_rep1,Ws,Dark,Ground,rep1,Ws_Dark_Ground
Ground_control_Ws_Dark_bio_rep2,Ws,Dark,Ground,rep2,Ws_Dark_Ground
Ground_control_Ws_Dark_bio_rep3,Ws,Dark,Ground,rep3,Ws_Dark_Ground
Ground_control_Ws_Light_bio_rep1,Ws,Light,Ground,rep1,Ws_Light_Ground
Ground_control_Ws_Light_bio_rep2,Ws,Light,Ground,rep2,Ws_Light_Ground
Ground_control_Ws_Light_bio_rep3,Ws,Light,Ground,rep3,Ws_Light_Ground
Ground_control_phyD_Dark_bio_rep1,phyD,Dark,Ground,rep1,phyD_Dark_Ground
Ground_control_phyD_Dark_bio_rep2,phyD,Dark,Ground,rep2,phyD_Dark_Ground
Ground_control_phyD_Dark_bio_rep3,phyD,Dark,Ground,rep3,phyD_Dark_Ground
Ground_control_phyD_Light_bio_rep1,phyD,Light,Ground,rep1,phyD_Light_Ground
Ground_control_phyD_Light_bio_rep2,phyD,Light,Ground,rep2,phyD_Light_Ground
Ground_control_phyD_Light_bio_rep3,phyD,Light,Ground,rep3,phyD_Light_Ground
