gene_id,GLDS-532_rna-seq_GSM6594657_raw
TX_SRR21643015_1,1078
TX_SRR21643015_103,1945
TX_SRR21643015_104,368
TX_SRR21643015_120,23196
TX_SRR21643015_122,0
TX_SRR21643015_126,10998
TX_SRR21643015_128,6187
TX_SRR21643015_129,67079
TX_SRR21643015_132,8388
TX_SRR21643015_141,82856
TX_SRR21643015_145,29482
TX_SRR21643015_147,28186
TX_SRR21643015_148,3702
TX_SRR21643015_149,1869
TX_SRR21643015_15,2500
TX_SRR21643015_150,3519
TX_SRR21643015_153,551
TX_SRR21643015_159,543
TX_SRR21643015_164,4081
TX_SRR21643015_165,12334
TX_SRR21643015_166,0
TX_SRR21643015_167,8198
TX_SRR21643015_168,17935
TX_SRR21643015_18,58560
TX_SRR21643015_182,36445
TX_SRR21643015_184,51089
TX_SRR21643015_193,3936
TX_SRR21643015_196,59160
TX_SRR21643015_198,1679
TX_SRR21643015_199,27856
TX_SRR21643015_20,3642
TX_SRR21643015_200,16
TX_SRR21643015_203,283
TX_SRR21643015_205,23839
TX_SRR21643015_207,212870
TX_SRR21643015_215,9402
TX_SRR21643015_220,32
TX_SRR21643015_227,34
TX_SRR21643015_228,3331
TX_SRR21643015_229,413
TX_SRR21643015_230,0
TX_SRR21643015_236,224
TX_SRR21643015_237,361
TX_SRR21643015_239,1
TX_SRR21643015_244,17885
TX_SRR21643015_245,3208
TX_SRR21643015_249,1293
TX_SRR21643015_250,45
TX_SRR21643015_255,56519
TX_SRR21643015_256,3936
TX_SRR21643015_261,25517
TX_SRR21643015_262,29100
TX_SRR21643015_267,882
TX_SRR21643015_269,9
TX_SRR21643015_280,25968
TX_SRR21643015_285,1
TX_SRR21643015_289,81413
TX_SRR21643015_291,999
TX_SRR21643015_295,24235
TX_SRR21643015_304,530
TX_SRR21643015_312,442
TX_SRR21643015_315,22039
TX_SRR21643015_32,394
TX_SRR21643015_322,64
TX_SRR21643015_324,210579
TX_SRR21643015_326,6
TX_SRR21643015_328,3787
TX_SRR21643015_343,18710
TX_SRR21643015_345,6352
TX_SRR21643015_346,2
TX_SRR21643015_347,3797
TX_SRR21643015_354,332
TX_SRR21643015_373,589
TX_SRR21643015_38,6101
TX_SRR21643015_382,4167
TX_SRR21643015_384,212891
TX_SRR21643015_385,10998
TX_SRR21643015_40,2464
TX_SRR21643015_401,21918
TX_SRR21643015_409,7419
TX_SRR21643015_417,3
TX_SRR21643015_42,80710
TX_SRR21643015_421,20457
TX_SRR21643015_424,2079
TX_SRR21643015_442,3764
TX_SRR21643015_446,3184
TX_SRR21643015_45,27
TX_SRR21643015_453,403
TX_SRR21643015_46,4720
TX_SRR21643015_463,101
TX_SRR21643015_466,7820
TX_SRR21643015_467,3564
TX_SRR21643015_475,111
TX_SRR21643015_480,550
TX_SRR21643015_488,13329
TX_SRR21643015_491,21974
TX_SRR21643015_494,13770
TX_SRR21643015_496,661
TX_SRR21643015_497,1613
TX_SRR21643015_504,18710
TX_SRR21643015_506,2602
TX_SRR21643015_508,8310
TX_SRR21643015_513,31
TX_SRR21643015_52,1155
TX_SRR21643015_520,113
TX_SRR21643015_524,6153
TX_SRR21643015_525,2660
TX_SRR21643015_526,7
TX_SRR21643015_532,7501
TX_SRR21643015_534,22248
TX_SRR21643015_536,8388
TX_SRR21643015_537,1097
TX_SRR21643015_550,64012
TX_SRR21643015_557,3764
TX_SRR21643015_558,151
TX_SRR21643015_560,841
TX_SRR21643015_562,26
TX_SRR21643015_563,1782
TX_SRR21643015_569,184
TX_SRR21643015_570,26842
TX_SRR21643015_573,101255
TX_SRR21643015_576,34801
TX_SRR21643015_578,622
TX_SRR21643015_583,1556
TX_SRR21643015_588,571
TX_SRR21643015_59,1837
TX_SRR21643015_595,10439
TX_SRR21643015_598,167
TX_SRR21643015_6,69155
TX_SRR21643015_604,16921
TX_SRR21643015_608,42460
TX_SRR21643015_612,35500
TX_SRR21643015_614,13765
TX_SRR21643015_616,213250
TX_SRR21643015_62,0
TX_SRR21643015_624,4
TX_SRR21643015_631,15288
TX_SRR21643015_635,39385
TX_SRR21643015_639,3116
TX_SRR21643015_650,124
TX_SRR21643015_656,13439
TX_SRR21643015_661,402
TX_SRR21643015_662,6815
TX_SRR21643015_663,4695
TX_SRR21643015_664,356
TX_SRR21643015_67,2597
TX_SRR21643015_683,546
TX_SRR21643015_684,1787
TX_SRR21643015_687,3778
TX_SRR21643015_691,650
TX_SRR21643015_705,19219
TX_SRR21643015_709,476788
TX_SRR21643015_710,1807
TX_SRR21643015_711,469
TX_SRR21643015_716,1
TX_SRR21643015_721,19162
TX_SRR21643015_726,9193
TX_SRR21643015_73,29348
TX_SRR21643015_731,137
TX_SRR21643015_732,10883
TX_SRR21643015_743,948
TX_SRR21643015_746,28766
TX_SRR21643015_749,4106
TX_SRR21643015_750,1450
TX_SRR21643015_752,1238
TX_SRR21643015_754,1
TX_SRR21643015_757,548
TX_SRR21643015_758,100
TX_SRR21643015_759,23683
TX_SRR21643015_762,7889
TX_SRR21643015_763,1444
TX_SRR21643015_767,501
TX_SRR21643015_770,13766
TX_SRR21643015_772,142
TX_SRR21643015_773,1105
TX_SRR21643015_775,1754
TX_SRR21643015_776,611
TX_SRR21643015_778,1103
TX_SRR21643015_779,249
TX_SRR21643015_781,1
TX_SRR21643015_787,22388
TX_SRR21643015_789,965
TX_SRR21643015_796,546
TX_SRR21643015_799,9194
TX_SRR21643015_801,1612
TX_SRR21643015_804,21844
TX_SRR21643015_808,3206
TX_SRR21643015_811,28330
TX_SRR21643015_820,1856
TX_SRR21643015_825,7934
TX_SRR21643015_829,5105
TX_SRR21643015_834,2537
TX_SRR21643015_84,517
TX_SRR21643015_840,814
TX_SRR21643015_847,14114
TX_SRR21643015_848,20
TX_SRR21643015_854,2912
TX_SRR21643015_87,9
TX_SRR21643015_870,811
TX_SRR21643015_871,3425
TX_SRR21643015_877,38464
TX_SRR21643015_881,560
TX_SRR21643015_885,0
TX_SRR21643015_894,247
TX_SRR21643015_897,50369
TX_SRR21643015_898,1556
TX_SRR21643015_90,182
TX_SRR21643015_901,6518
TX_SRR21643015_905,3115
TX_SRR21643015_906,66
TX_SRR21643015_909,678
TX_SRR21643015_913,10993
TX_SRR21643015_917,21523
TX_SRR21643015_922,765
TX_SRR21643015_923,633
TX_SRR21643015_925,1801
TX_SRR21643015_93,24
TX_SRR21643015_934,953
TX_SRR21643015_936,231
TX_SRR21643015_945,0
TX_SRR21643015_953,138
TX_SRR21643015_966,51
TX_SRR21643015_970,92
TX_SRR21643015_975,520
TX_SRR21643015_978,7409
TX_SRR21643015_979,6566
TX_SRR21643015_980,4307
TX_SRR21643015_988,216
TX_SRR21643015_989,8201
TX_SRR21643015_990,26
TX_SRR21643015_996,38831
