UniqueCount	AmbigCount
1034	136
1	1228366
18	94405
856	599821
157	748681
365	118
3617	6436
822	8010
3571	1229235
13	24141
417	8517
48	1021028
2	1026064
0	1024342
26	747954
37	711120
516	8
9	3
47	26099
9	225
25	472069
345	1978
32	750870
0	8025
0	1196116
7	1195661
60	107191
0	1196099
233	465190
28	473083
4	1228151
182	706407
221	94067
3519	0
521	30
0	1024577
4081	0
4	107220
0	0
0	1228130
15035	7394
147	472524
40802	26504
0	1227966
539	118924
1	1025514
3756	25747
7	381
283	0
33	705517
0	1258293
1	1196464
32	0
34	0
8	95679
1	1196094
0	1025003
223	3
15	651787
1	0
14	107184
13	1029280
6	1024780
0	1024528
1955	57082
0	1227966
2070	460337
25344	3776
852	50
9	6
9752	33511
1	0
0	1228202
999	0
0	472322
503	20579
442	0
3	1195763
60	45
20	472518
1	707118
3783	522
0	748311
18	1227590
2	0
3797	0
321	33413
8	1024447
4116	8652
0	1258293
0	1196116
1200	29764
12	792265
3	30
170	472908
171	56362
0	1196006
0	472738
2	472587
101	0
3	107145
3533	57
2	460236
550	0
13329	0
2050	73729
513	1025619
636	36
1333	910
0	748311
2602	0
289	8051
31	0
93	3662
3216	7882
798	2256
6	1
11	749548
16536	9750
0	1196099
36	1783
125	133967
0	1196006
2	1023857
1	1024472
26	0
20	626283
184	0
20	707604
60386	55300
0	472213
9	57059
1556	0
24	1024390
9550	4718
40	26236
16921	0
42225	4836
23523	15943
0	1228274
0	1258293
4	0
113	707987
4065	40009
1390	21825
6	1024647
115	132338
5	1024043
1	1228060
3906	2149
264	136
533	58
1787	0
3241	2085
650	0
86	706823
396	752941
0	1024574
469	0
1	0
16072	4676
0	1227763
137	0
477	1025911
931	43
17870	15274
4104	3
983	1073
24	1029655
1	0
531	28579
2	1025096
3	1227897
20	1196103
1444	0
72	93874
0	1228274
142	0
1056	12417
1	747884
5	1024704
1103	0
1	1024667
1	1
22386	48
381	1796
3	1024711
0	1227763
1612	0
75	1195840
2878	2365
1187	1229598
26	650066
7808	24285
28	132236
22	1021589
17	472460
1	1196310
1	460351
611	460552
1	1025957
3215	225
9573	65566
1	1025098
0	460241
19	1021616
50369	0
25	1029388
4328	12099
3115	0
2	471618
595	117
291	1229373
18	133759
3	792216
1	1024548
126	6008
949	2213
6	1024651
0	1026281
0	1024707
51	119
92	0
520	2
54	460776
23	792264
11	1196111
0	1196065
0	1228130
26	0
1397	794139
