RetainedRef	DuplicateRef
TX_SRR21643015_230	TX_SRR21643015_836
TX_SRR21643015_870	TX_SRR21643015_878
TX_SRR21643015_244	TX_SRR21643015_349
TX_SRR21643015_244	TX_SRR21643015_666
TX_SRR21643015_289	TX_SRR21643015_867
TX_SRR21643015_42	TX_SRR21643015_484
TX_SRR21643015_165	TX_SRR21643015_718
TX_SRR21643015_165	TX_SRR21643015_869
TX_SRR21643015_6	TX_SRR21643015_283
TX_SRR21643015_6	TX_SRR21643015_490
TX_SRR21643015_6	TX_SRR21643015_926
TX_SRR21643015_40	TX_SRR21643015_209
TX_SRR21643015_40	TX_SRR21643015_693
TX_SRR21643015_40	TX_SRR21643015_777
TX_SRR21643015_40	TX_SRR21643015_783
TX_SRR21643015_40	TX_SRR21643015_918
TX_SRR21643015_726	TX_SRR21643015_940
TX_SRR21643015_207	TX_SRR21643015_366
TX_SRR21643015_256	TX_SRR21643015_735
TX_SRR21643015_46	TX_SRR21643015_53
TX_SRR21643015_46	TX_SRR21643015_61
TX_SRR21643015_46	TX_SRR21643015_275
TX_SRR21643015_46	TX_SRR21643015_288
TX_SRR21643015_46	TX_SRR21643015_292
TX_SRR21643015_46	TX_SRR21643015_436
TX_SRR21643015_46	TX_SRR21643015_454
TX_SRR21643015_46	TX_SRR21643015_839
TX_SRR21643015_46	TX_SRR21643015_856
TX_SRR21643015_166	TX_SRR21643015_211
TX_SRR21643015_129	TX_SRR21643015_473
TX_SRR21643015_129	TX_SRR21643015_571
TX_SRR21643015_129	TX_SRR21643015_809
TX_SRR21643015_129	TX_SRR21643015_872
TX_SRR21643015_750	TX_SRR21643015_774
TX_SRR21643015_184	TX_SRR21643015_622
TX_SRR21643015_616	TX_SRR21643015_739
TX_SRR21643015_466	TX_SRR21643015_589
